The Archie Show,0,0
The Arrangement (2017),61,5.6
The Arsenio Hall Show,0,0
The Arsenio Hall Show (2013),0,2.6
The Art of More,55,4.4
The Ashlee Simpson Show,0,0
The Assassination of Gianni Versace: American Crime Story,74,8.5
The Assets,58,5.9
The Assistants (2009),0,0
The Astronaut Wives Club,60,6.0
The Avengers: Earth's Mightiest Heroes,0,8.4
The Awesomes,60,6.7
The Awful Truth,0,0
The Baby Borrowers,0,0
The Bachelor,33,2.3
The Bachelorette,66,0
The Backyardigans,0,5.0
The Bad Girl's Guide,0,0
The Bad News Bears,0,0
The Bad Seed,43,0
The Bastard Executioner,55,6.1
The Batman,0,7.9
The Beast,51,8.6
The Beatles,0,8.0
The Beautiful Life,40,5.1
The Bedford Diaries,33,8.3
The Ben Stiller Show,75,0
The Benny Hill Show,0,0
The Berenstain Bears,0,0
The Bernie Mac Show,0,0
The Best Damn Sports Show Period,0,0
The Best Thing I Ever Ate,0,0
The Best Years,0,0
The Beverly Hillbillies,0,0
The Bible,45,4.1
The Big Bang Theory,57,8.0
The Big Brain Theory,0,6.6
The Big C,67,6.8
The Big Easy,52,0
The Big Gay Sketch Show,0,0
The Big Spender,0,0
The Big Stage,0,0
The Biggest Loser,33,2.0
The Biggest Loser (Australia),0,0
The Bill,0,0
The Bill Engvall Show,35,3.3
The Bionic Woman (1976),0,0
The Birthday Boys,76,5.9
The Bisexual,76,4.6
The Biz (AOL),0,0
The Black Butler,0,6.0
The Black Donnellys,45,8.7
The Black Panther,0,0
The Blacklist,74,7.8
The Blacklist: Redemption,0,6.7
The Blame Game,0,0
The Bletchley Circle,73,8.5
The Bob Hope Show,0,0
The Bob Newhart Show,0,0
The Bobby Brown Story,0,0
The Bold and the Beautiful,0,7.5
The Bold Type,58,6.8
The Bomb,66,0
The Bonnie Hunt Show,0,0
The Book of Daniel,61,5.0
The Book of Negroes,77,6.6
The Boondocks,72,8.8
The Border,0,0
The Borgias,66,7.7
The Boys,0,0
The Brady Bunch,0,0
The Brak Show,0,0
The Brave,54,7.6
The Break with Michelle Wolf,0,2.2
The Breaks,0,0
